,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue
0,Addison,Mexican Restaurant,Italian Restaurant,American Restaurant,Burger Joint,Pizza Place,Sandwich Place,Steakhouse,Seafood Restaurant,Diner,Restaurant,Wings Joint,Thai Restaurant,Sushi Restaurant,Bakery,Fried Chicken Joint,Breakfast Spot,Deli / Bodega,BBQ Joint,Asian Restaurant,Mediterranean Restaurant
1,Balch Springs,Fast Food Restaurant,Fried Chicken Joint,Food,Chinese Restaurant,Pizza Place,Taco Place,Mexican Restaurant,Bagel Shop,Bakery,Asian Restaurant,Burger Joint,Diner,Café,Sandwich Place,Seafood Restaurant,Dumpling Restaurant,Ethiopian Restaurant,Fish & Chips Shop,Donut Shop,Wings Joint
2,Carrollton,Fast Food Restaurant,Mexican Restaurant,Korean Restaurant,Pizza Place,Sandwich Place,Sushi Restaurant,Fried Chicken Joint,Café,Burger Joint,Indian Restaurant,Chinese Restaurant,Vietnamese Restaurant,Asian Restaurant,Bakery,Thai Restaurant,Donut Shop,BBQ Joint,Diner,Breakfast Spot,Caribbean Restaurant
3,Cedar Hill,Fast Food Restaurant,American Restaurant,Mexican Restaurant,Pizza Place,Burger Joint,Fried Chicken Joint,Seafood Restaurant,Donut Shop,Breakfast Spot,Italian Restaurant,Wings Joint,Food,Sandwich Place,Café,Sushi Restaurant,Southern / Soul Food Restaurant,Tex-Mex Restaurant,Bakery,BBQ Joint,Asian Restaurant
4,Coppell,Pizza Place,Fast Food Restaurant,American Restaurant,Sandwich Place,Mexican Restaurant,Donut Shop,Tex-Mex Restaurant,Bakery,Burger Joint,BBQ Joint,Food,Indian Restaurant,Café,Peking Duck Restaurant,Deli / Bodega,Diner,Wings Joint,Mediterranean Restaurant,Japanese Restaurant,Chinese Restaurant
5,Dallas,Mexican Restaurant,Fast Food Restaurant,American Restaurant,Pizza Place,Sandwich Place,Burger Joint,Fried Chicken Joint,Taco Place,Seafood Restaurant,Italian Restaurant,BBQ Joint,Restaurant,Chinese Restaurant,Bakery,Steakhouse,New American Restaurant,Breakfast Spot,Diner,Thai Restaurant,Donut Shop
6,Desoto,Donut Shop,Pizza Place,Fast Food Restaurant,American Restaurant,Sandwich Place,Fried Chicken Joint,Seafood Restaurant,Burger Joint,Wings Joint,Snack Place,Fish & Chips Shop,Mexican Restaurant,Chinese Restaurant,Restaurant,Bakery,Tex-Mex Restaurant,Cafeteria,Café,Gastropub,Asian Restaurant
7,Duncanville,Fast Food Restaurant,Pizza Place,American Restaurant,Mexican Restaurant,Fried Chicken Joint,Wings Joint,Chinese Restaurant,BBQ Joint,Italian Restaurant,Seafood Restaurant,Sandwich Place,Donut Shop,Burger Joint,Restaurant,Diner,Sushi Restaurant,Taco Place,Bakery,Bagel Shop,Food Court
8,Garland,Fast Food Restaurant,Mexican Restaurant,Pizza Place,Burger Joint,American Restaurant,Chinese Restaurant,Sandwich Place,Fried Chicken Joint,Donut Shop,Wings Joint,Seafood Restaurant,Restaurant,Taco Place,Food,BBQ Joint,Breakfast Spot,Bakery,Italian Restaurant,Sushi Restaurant,Vietnamese Restaurant
9,Grand Prairie,Fast Food Restaurant,Mexican Restaurant,Pizza Place,Fried Chicken Joint,Bakery,Sandwich Place,American Restaurant,BBQ Joint,Donut Shop,Taco Place,Wings Joint,Chinese Restaurant,Burger Joint,Restaurant,Seafood Restaurant,Italian Restaurant,Diner,Deli / Bodega,Café,Buffet
10,Hutchins,Fast Food Restaurant,Food,American Restaurant,Truck Stop,Sandwich Place,Fried Chicken Joint,Wings Joint,Diner,Donut Shop,Dumpling Restaurant,Ethiopian Restaurant,Fish & Chips Shop,Fondue Restaurant,Food Stand,Food Court,Deli / Bodega,Food Truck,French Restaurant,Gastropub,German Restaurant
11,Irving,Mexican Restaurant,Fast Food Restaurant,Sandwich Place,Pizza Place,American Restaurant,Indian Restaurant,Fried Chicken Joint,Burger Joint,Bakery,Asian Restaurant,Restaurant,Chinese Restaurant,Deli / Bodega,Breakfast Spot,Donut Shop,Latin American Restaurant,Italian Restaurant,Brazilian Restaurant,Food,Japanese Restaurant
12,Lancaster,Fast Food Restaurant,Pizza Place,Wings Joint,Chinese Restaurant,Café,Taco Place,Food,Burger Joint,Fried Chicken Joint,Donut Shop,Italian Restaurant,Bakery,BBQ Joint,Asian Restaurant,American Restaurant,Gastropub,German Restaurant,Food Truck,Greek Restaurant,Food Stand
13,Mesquite,Fast Food Restaurant,Mexican Restaurant,American Restaurant,Pizza Place,Burger Joint,Sandwich Place,Fried Chicken Joint,BBQ Joint,Chinese Restaurant,Breakfast Spot,Taco Place,Donut Shop,Seafood Restaurant,Italian Restaurant,Greek Restaurant,Diner,Steakhouse,Deli / Bodega,Restaurant,Bakery
14,Richardson,Mexican Restaurant,Sandwich Place,Chinese Restaurant,Bakery,Burger Joint,American Restaurant,Mediterranean Restaurant,Indian Restaurant,BBQ Joint,Fast Food Restaurant,Pizza Place,Vietnamese Restaurant,Asian Restaurant,Sushi Restaurant,Italian Restaurant,Café,Wings Joint,Breakfast Spot,Donut Shop,Taco Place
15,Rowlett,Fast Food Restaurant,Mexican Restaurant,Pizza Place,Chinese Restaurant,Sandwich Place,Fried Chicken Joint,Deli / Bodega,Burger Joint,Restaurant,Wings Joint,Italian Restaurant,Seafood Restaurant,Greek Restaurant,BBQ Joint,American Restaurant,Breakfast Spot,Taco Place,Asian Restaurant,Thai Restaurant,Food
16,Sachse,Burger Joint,Sandwich Place,Fast Food Restaurant,Fried Chicken Joint,Mexican Restaurant,Sushi Restaurant,Donut Shop,Café,Pizza Place,Wings Joint,Breakfast Spot,Bakery,Food Stand,Food Truck,Food Court,French Restaurant,Food,Fondue Restaurant,Fish & Chips Shop,Gastropub
17,Sunnyvale,Mexican Restaurant,American Restaurant,Donut Shop,Sandwich Place,Italian Restaurant,Food Truck,Sushi Restaurant,Food,Diner,Dumpling Restaurant,Ethiopian Restaurant,Fast Food Restaurant,Fish & Chips Shop,Fondue Restaurant,Wings Joint,Food Court,Deli / Bodega,Food Stand,French Restaurant,Fried Chicken Joint
18,Wilmer,Fast Food Restaurant,American Restaurant,Pizza Place,Truck Stop,Sandwich Place,Diner,Wings Joint,Fondue Restaurant,Donut Shop,Dumpling Restaurant,Ethiopian Restaurant,Fish & Chips Shop,Food Court,Food,Deli / Bodega,Food Stand,Food Truck,French Restaurant,Fried Chicken Joint,Gastropub
